Unnamed: 0,Date,UKPOUND_BID_SPOT,UKPOUND_ASK_SPOT
14,10/31/1983,0.669209663,0.669657805
36,11/30/1983,0.68119891,0.68189567
80,1/31/1984,0.714030703,0.714540907
101,2/29/1984,0.670600858,0.671050866
144,4/30/1984,0.716075904,0.716589036
167,5/31/1984,0.721761097,0.722282412
210,7/31/1984,0.764525994,0.765110941
233,8/31/1984,0.762951095,0.763533634
276,10/31/1984,0.819000819,0.819672131
298,11/30/1984,0.830220008,0.830909846
319,12/31/1984,0.862663906,0.863408738
342,1/31/1985,0.884173298,0.884955752
362,2/28/1985,0.923787529,0.924641701
405,4/30/1985,0.803858521,0.805152979
428,5/31/1985,0.776397516,0.777604977
471,7/31/1985,0.708968451,0.709723208
514,9/30/1985,0.709723208,0.710479574
537,10/31/1985,0.689655172,0.699300699
580,12/31/1985,0.691085003,0.692041522
603,1/31/1986,0.707463742,0.707964602
623,2/28/1986,0.690607735,0.691562932
644,3/31/1986,0.674308833,0.674763833
666,4/30/1986,0.646412411,0.64683053
709,6/30/1986,0.652315721,0.652741514
732,7/31/1986,0.670690812,0.67114094
775,9/30/1986,0.690607735,0.691085003
798,10/31/1986,0.710984714,0.711490573
841,12/31/1986,0.674308833,0.674763833
905,3/31/1987,0.622858922,0.623247117
927,4/30/1987,0.602409639,0.602772755
970,6/30/1987,0.619770685,0.620155039
993,7/31/1987,0.628338046,0.628733103
1014,8/31/1987,0.61244488,0.612820199
1036,9/30/1987,0.61500615,0.615384615
1079,11/30/1987,0.546896363,0.547195622
1102,12/31/1987,0.529661017,0.530222694
1144,2/29/1988,0.563602547,0.563920374
1167,3/31/1988,0.529801325,0.530222694
1210,5/31/1988,0.54377379,0.544069641
1232,6/30/1988,0.586166471,0.586510264
1276,8/31/1988,0.594177065,0.594530321
1298,9/30/1988,0.591366056,0.591715976
1319,10/31/1988,0.5648122,0.565131393
1341,11/30/1988,0.541418517,0.541711809
1385,1/31/1989,0.570613409,0.570939195
1405,2/28/1989,0.573065903,0.573394495
1428,3/31/1989,0.591891092,0.592241635
1471,5/31/1989,0.634920635,0.635727908
1493,6/30/1989,0.645577792,0.645994832
1514,7/31/1989,0.59962823,0.599988
1537,8/31/1989,0.635324015,0.635727908
1580,10/31/1989,0.632711167,0.633111744
1602,11/30/1989,0.636456212,0.636861546
1646,1/31/1990,0.594883998,0.595238095
1666,2/28/1990,0.591366056,0.591715976
1709,4/30/1990,0.610687023,0.611060189
1732,5/31/1990,0.596480763,0.596836765
1775,7/31/1990,0.537345513,0.537634409
1798,8/31/1990,0.52882073,0.529100529
1841,10/31/1990,0.513795407,0.514059528
1863,11/30/1990,0.514588586,0.514853524
1884,12/31/1990,0.518000518,0.518806744
1907,1/31/1991,0.508517671,0.508776393
1927,2/28/1991,0.522739153,0.523012552
1970,4/30/1991,0.579038796,0.579374276
1993,5/31/1991,0.588235294,0.588581519
2036,7/31/1991,0.59311981,0.59347181
2079,9/30/1991,0.570776256,0.571102227
2102,10/31/1991,0.573230152,0.573558933
2145,12/31/1991,0.535331906,0.535905681
2168,1/31/1992,0.558659218,0.558971492
2210,3/31/1992,0.575705239,0.576036866
2232,4/30/1992,0.563539025,0.56385678
2275,6/30/1992,0.525072197,0.525348043
2298,7/31/1992,0.51975052,0.520020801
2319,8/31/1992,0.504413619,0.504668181
2341,9/30/1992,0.560852496,0.561167228
2384,11/30/1992,0.660720185,0.661157025
2407,12/31/1992,0.660501982,0.661813369
2471,3/31/1993,0.663570007,0.664010624
2493,4/30/1993,0.637145588,0.637551801
2514,5/31/1993,0.640409862,0.64082025
2536,6/30/1993,0.669120107,0.669568129
2580,8/31/1993,0.672268908,0.672721157
2602,9/30/1993,0.667556742,0.668002672
2645,11/30/1993,0.673219335,0.673672864
2668,12/31/1993,0.676132522,0.677506775
2689,1/31/1994,0.666222518,0.666666667
2709,2/28/1994,0.671591672,0.672043011
2732,3/31/1994,0.671411307,0.671862403
2775,5/31/1994,0.661200741,0.661638216
2797,6/30/1994,0.645786245,0.646203554
2841,8/31/1994,0.650872169,0.651296079
2863,9/30/1994,0.634678853,0.635081926
2884,10/31/1994,0.611246944,0.611620795
2906,11/30/1994,0.637673766,0.638080653
2950,1/31/1995,0.633071664,0.633472697
2970,2/28/1995,0.631074088,0.631472594
2993,3/31/1995,0.615233173,0.61599113
3036,5/31/1995,0.630119723,0.630517024
3058,6/30/1995,0.628693575,0.629089079
3079,7/31/1995,0.625625626,0.626017278
3102,8/31/1995,0.644080897,0.644496004
3145,10/31/1995,0.632111252,0.632511069
3167,11/30/1995,0.653167864,0.653594771
3211,1/31/1996,0.660763843,0.661200741
3232,2/29/1996,0.65257113,0.652997257
3275,4/30/1996,0.664628473,0.665070497
3298,5/31/1996,0.644246875,0.644662197
3341,7/31/1996,0.642467074,0.642880103
3384,9/30/1996,0.638977636,0.639386189
3407,10/31/1996,0.614175163,0.614552606
3450,12/31/1996,0.58356676,0.583907509
3473,1/31/1997,0.624219725,0.624609619
3493,2/28/1997,0.613647521,0.614024315
3514,3/31/1997,0.612745098,0.613120785
3536,4/30/1997,0.616903146,0.617283951
3579,6/30/1997,0.600384246,0.600744924
3602,7/31/1997,0.609236018,0.609607413
3645,9/30/1997,0.619885941,0.620270438
3668,10/31/1997,0.596125186,0.596480763
3711,12/31/1997,0.604521823,0.604887491
3775,3/31/1998,0.596089652,0.596445187
3797,4/30/1998,0.597657184,0.598014592
3840,6/30/1998,0.598515681,0.598874117
3863,7/31/1998,0.611620795,0.611995104
3884,8/31/1998,0.597728631,0.598086124
3906,9/30/1998,0.588512241,0.588858792
3949,11/30/1998,0.605913718,0.606281072
3972,12/31/1998,0.600889316,0.601250601
4036,3/31/1999,0.61896509,0.619348445
4058,4/30/1999,0.621426796,0.621813207
4079,5/31/1999,0.624375624,0.624765713
4101,6/30/1999,0.634356762,0.634759426
4145,8/31/1999,0.622045285,0.622432466
4167,9/30/1999,0.607164542,0.607533414
4210,11/30/1999,0.62751004,0.627904056
4233,12/31/1999,0.619655472,0.620039683
4254,1/31/2000,0.617894217,0.618276246
4275,2/29/2000,0.632431065,0.632831287
4298,3/31/2000,0.62672349,0.627116518
4341,5/31/2000,0.667645881,0.668091929
4363,6/30/2000,0.659630607,0.660066007
4384,7/31/2000,0.666755567,0.667200427
4407,8/31/2000,0.690131125,0.690607735
4450,10/31/2000,0.689464975,0.689940665
4472,11/30/2000,0.701557458,0.702049986
4516,1/31/2001,0.684837693,0.685307018
4536,2/28/2001,0.691658597,0.69213732
4579,4/30/2001,0.698616739,0.699105145
4602,5/31/2001,0.705019741,0.705517144
4645,7/31/2001,0.702148575,0.702444507
4668,8/31/2001,0.688657806,0.688942473
4711,10/31/2001,0.687285223,0.687568757
4733,11/30/2001,0.70229651,0.702592567
4754,12/31/2001,0.688041833,0.688325991
4777,1/31/2002,0.707413696,0.707714084
4797,2/28/2002,0.706613906,0.706913615
4840,4/30/2002,0.68540096,0.68568294
4863,5/31/2002,0.683947746,0.684228532
4906,7/31/2002,0.638977636,0.639222705
4949,9/30/2002,0.637226789,0.637470517
4972,10/31/2002,0.639467963,0.639713408
5015,12/31/2002,0.621040864,0.621272366
5038,1/31/2003,0.607865783,0.608087565
5058,2/28/2003,0.63496095,0.635202947
5079,3/31/2003,0.632951453,0.63319192
5101,4/30/2003,0.624726682,0.62496094
5144,6/30/2003,0.604668037,0.604887491
5167,7/31/2003,0.621388181,0.621619942
5210,9/30/2003,0.601178309,0.601395237
5233,10/31/2003,0.589483612,0.589692181
5276,12/31/2003,0.561797753,0.561987187
5341,3/31/2004,0.543448726,0.543625985
5363,4/30/2004,0.563666084,0.56385678
5384,5/31/2004,0.546268983,0.546448087
5406,6/30/2004,0.551237528,0.551419906
5450,8/31/2004,0.556359185,0.556544969
5472,9/30/2004,0.5516937,0.55187638
5515,11/30/2004,0.524273881,0.52443885
5538,12/31/2004,0.52208416,0.522247754
5559,1/31/2005,0.53157559,0.531745188
5579,2/28/2005,0.519777535,0.519939687
5602,3/31/2005,0.529324582,0.529492746
5645,5/31/2005,0.548335801,0.548516264
5667,6/30/2005,0.557786702,0.55797344
5711,8/31/2005,0.55401662,0.554200842
5733,9/30/2005,0.56557887,0.565770863
5754,10/31/2005,0.565259171,0.565450947
5776,11/30/2005,0.576900888,0.577100646
5820,1/31/2006,0.560098577,0.560286867
5840,2/28/2006,0.570125428,0.57032052
5863,3/31/2006,0.575175429,0.575373993
5906,5/31/2006,0.53361793,0.533788833
5928,6/30/2006,0.541154824,0.541330591
5949,7/31/2006,0.535160013,0.535331906
5972,8/31/2006,0.525458463,0.525624179
6015,10/31/2006,0.523916802,0.524026621
6037,11/30/2006,0.508001016,0.508104263
6081,1/31/2007,0.509761941,0.509865905
6101,2/28/2007,0.509865905,0.509969912
6144,4/30/2007,0.499950005,0.500050005
6167,5/31/2007,0.505127039,0.505229121
6210,7/31/2007,0.491400491,0.4914971
6233,8/31/2007,0.495564696,0.495662949
6276,10/31/2007,0.481069899,0.481162489
6298,11/30/2007,0.486286715,0.486381323
6319,12/31/2007,0.504210155,0.504311866
6342,1/31/2008,0.502512563,0.502613591
6363,2/29/2008,0.50347397,0.503575385
6384,3/31/2008,0.503905266,0.504006854
6406,4/30/2008,0.504133898,0.504235579
6449,6/30/2008,0.502361097,0.502462064
6472,7/31/2008,0.504617248,0.504719124
6515,9/30/2008,0.560098577,0.56022409
6538,10/31/2008,0.615384615,0.615536132
6581,12/31/2008,0.68310677,0.683293475
6645,3/31/2009,0.698714366,0.698909701
6667,4/30/2009,0.674399784,0.674581759
6710,6/30/2009,0.607164542,0.607312037
6733,7/31/2009,0.597978832,0.598121897
6754,8/31/2009,0.613045611,0.613195977
6776,9/30/2009,0.623908161,0.624063904
6819,11/30/2009,0.609124688,0.609273137
6842,12/31/2009,0.618658748,0.618811881
6906,3/31/2010,0.658111221,0.658284511
6928,4/30/2010,0.654321795,0.654493095
6949,5/31/2010,0.690417012,0.690607735
6971,6/30/2010,0.668493883,0.668672685
7015,8/31/2010,0.651890482,0.652060511
7037,9/30/2010,0.636496722,0.636658815
7080,11/30/2010,0.642219511,0.642384531
7103,12/31/2010,0.64008193,0.640245854
7124,1/31/2011,0.623402531,0.623558022
7144,2/28/2011,0.615081806,0.615233173
7167,3/31/2011,0.622393726,0.622548714
7210,5/31/2011,0.608531613,0.608679774
7232,6/30/2011,0.621542669,0.621697233
7276,8/31/2011,0.614363826,0.614514841
7298,9/30/2011,0.639549757,0.639713408
7319,10/31/2011,0.619962802,0.620116582
7341,11/30/2011,0.636334712,0.636496722
7385,1/31/2012,0.634517766,0.634678853
7406,2/29/2012,0.626644943,0.626802056
7449,4/30/2012,0.616104984,0.616256856
7472,5/31/2012,0.648424329,0.648592554
7515,7/31/2012,0.638121371,0.638284292
7538,8/31/2012,0.630199143,0.630358043
7581,10/31/2012,0.619847518,0.62000124
7603,11/30/2012,0.623908161,0.624063904
7624,12/31/2012,0.614703713,0.614854894
7647,1/31/2013,0.630238861,0.630397781
7667,2/28/2013,0.658457892,0.658631364
7710,4/30/2013,0.643459237,0.643624895
7733,5/31/2013,0.658718135,0.658891744
7776,7/31/2013,0.658457892,0.658631364
7819,9/30/2013,0.617703379,0.61785604
7842,10/31/2013,0.62289772,0.62305296
7885,12/31/2013,0.603573153,0.603718908
7908,1/31/2014,0.607828835,0.607976654
7928,2/28/2014,0.596587519,0.59672992
7949,3/31/2014,0.599592277,0.599736116
7971,4/30/2014,0.592452159,0.592592593
8014,6/30/2014,0.584624379,0.584761125
8037,7/31/2014,0.592206562,0.592346878
8080,9/30/2014,0.616788996,0.616941206
8103,10/31/2014,0.625,0.625156289
8146,12/31/2014,0.641560275,0.641724957
8210,3/31/2015,0.67335533,0.673536741
8232,4/30/2015,0.651678071,0.651847989
8275,6/30/2015,0.636213259,0.636375207
8298,7/31/2015,0.639549757,0.639713408
8319,8/31/2015,0.650533437,0.650702759
8341,9/30/2015,0.661069611,0.661244462
8384,11/30/2015,0.664584303,0.664761018
8407,12/31/2015,0.677966102,0.678150007
